Time (s),CBF Array[0],CBF Array[1]
34.243633034,6.6019706528040585,1.457167719820518e-16
34.253661379,6.601986051680072,-5.551115123125783e-17
34.26337709,6.602001192234184,2.0816681711721685e-17
34.273573315,6.6020165169126654,-1.0408340855860843e-16
34.283311311,6.602031771530623,2.7755575615628914e-17
34.293558367,6.602047090107647,1.3877787807814457e-16
34.303329918,6.602062290176713,2.0816681711721685e-17
34.314070425,6.602077706455166,-3.469446951953614e-17
34.32339094,6.602092896770538,4.163336342344337e-17
34.333707122,6.602108156513254,-5.551115123125783e-17
34.343778181,6.602123495162369,1.457167719820518e-16
34.353391842,6.6021386992527535,1.0408340855860843e-16
34.363271669,6.6021539705933066,-1.3877787807814457e-17
34.373626212,6.602169288061186,6.245004513516506e-17
34.383330783,6.602184592639743,6.938893903907228e-18
34.393572833,6.602199822752809,-2.983724378680108e-16
34.403577591,6.602215138345848,2.7755575615628914e-17
34.413694522,6.602230423193157,1.1102230246251565e-16
34.423310409,6.602245711907941,9.71445146547012e-17
34.433554947,6.602260972787497,2.0816681711721685e-17
34.443300566,6.602276190158572,4.85722573273506e-17
34.453843187,6.6022916165662755,-8.326672684688674e-17
34.463339344,6.602306816523479,3.469446951953614e-17
34.473963061,6.602322140612954,5.551115123125783e-17
34.483492109,6.602337419369181,-5.551115123125783e-17
34.493482624,6.60235263492696,-2.7755575615628914e-17
34.50698207,6.60236804461617,1.1102230246251565e-16
34.513687926,6.60238324639961,-1.3877787807814457e-17
34.523384717,6.602398573432183,1.5959455978986625e-16
34.533568155,6.602413784401089,-2.7755575615628914e-17
34.543366579,6.602429086725412,-6.938893903907228e-17
34.553323992,6.602444405314028,3.191891195797325e-16
34.563270966,6.602459700793558,-2.0816681711721685e-17
34.57357695,6.602474998318485,-2.1510571102112408e-16
34.583557848,6.6024902891382045,-2.0816681711721685e-16
34.594408757,6.602505650552594,2.5673907444456745e-16
34.603384012,6.6025208280506735,1.249000902703301e-16
34.613696137,6.602536131931966,2.2898349882893854e-16
34.623628425,6.602551421448911,-1.0408340855860843e-16
34.633857033,6.602566746196498,6.245004513516506e-17
34.643379245,6.60258202193381,-6.938893903907228e-18
34.653391786,6.602597321961818,3.469446951953614e-17
34.663467677,6.602612627317518,-1.457167719820518e-16
