# x y u v xphi yphi phi_l0_x phi_l0_x phi_l1_x phi_l1_x phi_l2_x phi_l2_x
78.056050 112.516629 -0.611873 -14.987515 78.056049 112.516632 -0.962186 0.272389 -0.961162 0.275769 -0.954661 0.297386
77.970785 110.318818 -0.547472 -14.990006 77.970786 110.318813 -0.947906 0.312428 -0.953666 0.300741 -0.948259 0.316890
77.897743 108.220039 -0.492289 -14.991920 77.897744 108.220043 -0.927250 0.370343 -0.946534 0.322529 -0.941979 0.335493
77.835064 106.221545 -0.444935 -14.993400 77.835064 106.221542 -0.917394 0.397977 -0.940107 0.340824 -0.935332 0.353177
77.778395 104.221830 -0.402166 -14.994608 77.778397 104.221821 -0.917394 0.397977 -0.934262 0.356548 -0.928615 0.370847
77.710449 101.523023 -0.350863 -14.995896 77.710447 101.523018 -0.917394 0.397977 -0.927518 0.373742 -0.918613 0.394597
77.665752 99.523005 -0.317125 -14.996647 77.665753 99.523010 -0.917394 0.397977 -0.923298 0.384059 -0.910964 0.412157
77.625386 97.524102 -0.286632 -14.997261 77.627296 97.623558 -0.917394 0.397977 -0.919781 0.392414 -0.903136 0.428773
77.585445 95.324987 -0.256465 -14.997807 77.587152 95.424366 -0.917394 0.397977 -0.916071 0.400993 -0.893845 0.447988
77.552756 93.323625 -0.231789 -14.998209 77.552757 93.323631 -0.917395 0.397977 -0.912554 0.408927 -0.884327 0.466302
77.521846 91.223855 -0.208446 -14.998552 77.520456 91.124401 -0.917394 0.397977 -0.908524 0.417791 -0.873973 0.485470
77.495305 89.224562 -0.188400 -14.998817 77.494044 89.124794 -0.917394 0.397977 -0.904213 0.427022 -0.864016 0.502900
77.469042 87.024762 -0.168553 -14.999053 77.469044 87.024765 -0.917394 0.397978 -0.898667 0.438544 -0.853077 0.521224
77.447583 85.025141 -0.152349 -14.999226 77.447581 85.025139 -0.917395 0.397977 -0.892090 0.451730 -0.842129 0.538695
77.428188 83.025733 -0.137708 -14.999368 77.429109 83.125286 -0.917395 0.397976 -0.884380 0.466591 -0.831260 0.555311
77.408160 80.725121 -0.122571 -14.999499 77.408161 80.725117 -0.917395 0.397977 -0.872198 0.488916 -0.816833 0.576328
77.391809 78.624946 -0.110225 -14.999595 77.391810 78.624954 -0.917395 0.397977 -0.858911 0.511827 -0.803447 0.594685
77.377775 76.625231 -0.099628 -14.999669 77.377777 76.625214 -0.917394 0.397978 -0.843660 0.536507 -0.790320 0.612151
77.365085 74.624925 -0.090038 -14.999730 77.365084 74.624939 -0.895790 0.442649 -0.825675 0.563703 -0.776453 0.629471
77.352536 72.425478 -0.080557 -14.999784 77.352538 72.425461 -0.864936 0.480989 -0.802688 0.595945 -0.760838 0.648446
77.342280 70.425554 -0.072808 -14.999823 77.342281 70.425568 -0.707106 0.707106 -0.778772 0.626811 -0.745913 0.665327
77.333010 68.425740 -0.065810 -14.999856 77.333450 68.525314 -0.707106 0.707106 -0.753591 0.656785 -0.731544 0.681277
77.323441 66.125917 -0.058561 -14.999886 77.323828 66.225014 -0.707106 0.707106 -0.720550 0.692966 -0.713563 0.699894
77.315979 64.125451 -0.052920 -14.999907 77.315979 64.125443 -0.707106 0.707106 -0.688425 0.724938 -0.696991 0.716708
77.308919 62.024979 -0.047586 -14.999925 77.308602 61.925316 -0.707106 0.707106 -0.653717 0.756429 -0.679334 0.733187
77.302861 60.025116 -0.043010 -14.999938 77.302861 60.025101 -0.707106 0.707106 -0.623661 0.781439 -0.664064 0.747367
77.296353 57.625218 -0.038094 -14.999952 77.296352 57.625237 -0.439454 0.897336 -0.586887 0.809346 -0.645009 0.763619
77.291503 55.625168 -0.034432 -14.999960 77.291503 55.625153 -0.430779 0.901531 -0.557895 0.829649 -0.629265 0.776848
77.286704 53.425757 -0.030809 -14.999968 77.286706 53.425751 -0.397977 0.917394 -0.528615 0.848633 -0.612608 0.789931
77.281857 50.925373 -0.027139 -14.999975 77.282038 51.025429 -0.397977 0.917394 -0.500291 0.865673 -0.595065 0.803326
77.278399 48.925416 -0.024522 -14.999980 77.278399 48.925400 -0.397977 0.917394 -0.478852 0.877764 -0.580534 0.813911
77.275277 46.925373 -0.022164 -14.999984 77.275276 46.925392 -0.397977 0.917394 -0.461435 0.887082 -0.567719 0.822945
77.272453 44.925060 -0.020031 -14.999987 77.272320 44.825439 -0.397977 0.917394 -0.446184 0.894881 -0.555189 0.831483
77.269662 42.725858 -0.017924 -14.999989 77.269783 42.825089 -0.397977 0.917394 -0.434363 0.900698 -0.544734 0.838404
77.267380 40.725704 -0.016199 -14.999991 77.267380 40.725708 -0.397977 0.917394 -0.424487 0.905410 -0.534853 0.844775
77.265317 38.725327 -0.014641 -14.999993 77.265315 38.725319 -0.397977 0.917394 -0.417187 0.908806 -0.527462 0.849439
77.263276 36.525393 -0.013099 -14.999994 77.263274 36.525383 -0.397977 0.917394 -0.411117 0.911575 -0.520600 0.853688
77.261607 34.525152 -0.011838 -14.999995 77.261605 34.525146 -0.397977 0.917394 -0.407101 0.913378 -0.517263 0.855736
77.260028 32.425343 -0.010645 -14.999996 77.260027 32.425346 -0.397977 0.917394 -0.404085 0.914719 -0.514844 0.857206
77.258609 30.325419 -0.009573 -14.999997 77.258544 30.225296 -0.397978 0.917394 -0.401968 0.915652 -0.516652 0.856123
77.257048 27.725401 -0.008393 -14.999998 77.257047 27.725410 -0.397977 0.917395 -0.400689 0.916213 -0.520740 0.853642
77.255980 25.725789 -0.007586 -14.999998 77.255979 25.725784 -0.397978 0.917394 -0.400459 0.916314 -0.529531 0.848176
77.255014 23.725894 -0.006857 -14.999998 77.255058 23.825607 -0.397975 0.917395 -0.401002 0.916076 -0.538589 0.842481
77.253976 21.325408 -0.006073 -14.999999 77.253976 21.325417 -0.397977 0.917394 -0.403561 0.914950 -0.559681 0.828446
77.253203 19.325417 -0.005489 -14.999999 77.253165 19.225464 -0.397976 0.917395 -0.408026 0.912964 -0.581544 0.813020
77.252504 17.325583 -0.004961 -14.999999 77.252502 17.325592 -0.397977 0.917394 -0.415000 0.909806 -0.607749 0.793430
77.251842 15.225392 -0.004462 -14.999999 77.251844 15.225410 -0.397978 0.917394 -0.427806 0.903828 -0.642075 0.765342
77.251274 13.225769 -0.004033 -14.999999 77.251272 13.225784 -0.397976 0.917395 -0.447379 0.894238 -0.683489 0.728119
77.250761 11.225518 -0.003645 -15.000000 77.250762 11.225510 -0.397977 0.917394 -0.477817 0.878194 -0.730660 0.679169
77.250275 9.126178 -0.003278 -15.000000 77.250295 9.225540 -0.397976 0.917395 -0.524433 0.850773 -0.786917 0.611688
77.249817 6.924702 -0.002933 -15.000000 77.249818 6.924706 -0.397978 0.917394 -0.608210 0.791833 -0.853757 0.507386
77.249444 4.925379 -0.002651 -15.000000 77.249446 4.925385 -0.397979 0.917394 -0.716945 0.691292 -0.913939 0.390341
77.249107 2.925688 -0.002396 -15.000000 77.249122 3.025436 -0.397976 0.917395 -0.847118 0.511713 -0.952085 0.297618
77.248773 0.725926 -0.002144 -15.000000 77.248788 0.824890 -0.397977 0.917394 -0.955356 0.280750 -0.975325 0.210574
77.248495 -1.274878 -0.001935 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.248221 -3.274399 -0.001728 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
77.247974 -5.074812 -0.001542 -15.000000 77.248673 0.024796 -0.397979 0.917394 -0.977619 0.209353 -0.983775 0.178925
